DATE,WEMMERSHOEK_HEIGHT_m_,WEMMERSHOEK_STORAGE_Ml_,WEMMERSHOEK_Current_,WEMMERSHOEK_Last_Year_,STEENBRAS_LOWER_HEIGHT_m_,STEENBRAS_STORAGE__Ml_,STEENBRAS_LOWER_Current__,STEENBRAS_LOWER_Last_Year__,STEENBRAS_UPPER_HEIGHT_m_,STEENBRAS_UPPER_STORAGE_Ml_,STEENBRAS_UPPER_Current__,STEENBRAS_UPPERLast_Year__,VOËLVLEI_HEIGHT__m_,VOËLVLEI_STORAGE__Ml_,VOËLVLEI__Current__,VOËLVLEI_Last_Year_,HELY_HUTCHINSON_HEIGHT_m_,HELY_HUTCHINSON_STORAGE__Ml_,HELY_HUTCHINSON_Current__,HELY_HUTCHINSON_Last_Year_,WOODHEAD_HEIGHT,WOODHEAD_STORAGE_Ml_,WOODHEAD_Current_,WOODHEAD_Last_Year_,VICTORIA_HEIGHT,VICTORIA_STORAGE_Ml_,VICTORIA_Current_,VICTORIALast_Year_,ALEXANDRA_HEIGHT_m_,ALEXANDRA_STORAGE_Ml_,ALEXANDRA_Current_,ALEXANDRA_Last_Year_,DE_VILLIERS_HEIGHT_m_,DE_VILLIERS_STORAGE_Ml_,DE_VILLIERS_Current_,DE_VILLIERS_Last_Year_,KLEINPLAATS_HEIGHT__m_,KLEINPLAATS_STORAGE_Ml_,KLEINPLAATS_Current__,KLEINPLAATS_Last_Year__,LEWIS_GAY_HEIGHT__m_,LEWIS_GAY_STORAGE__Ml_,LEWIS_GAY_Current__,LEWIS_GAY_Last_Year__,THEEWATERSKLOOF_HEIGHT__m_,THEEWATERSKLOOF_STORAGE__Ml_,THEEWATERSKLOOF_Current,THEEWATERSKLOOF_Last_Year__,BERG_RIVER_HEIGHT__m_,BERG_RIVER_STORAGE__Ml_,BERG_RIVER_Current__,BERG_RIVER_Last_Year__,TOTAL_STORED___BIG_6_STORAGE,TOTAL_STORED___BIG_6_Current,TOTAL_STORED___BIG_6_Last_Year,LAND_en_ZEEZICHT_HEIGHT__m_,LAND_en_ZEEZICHT_STORAGE__Ml_,LAND_en_ZEEZICHT_Current__,LAND_en_ZEEZICHT_Last_Year__,TOTAL_STORED___BIG_5_STORAGE,TOTAL_STORED___BIG_5_Current,TOTAL_STORED___BIG_5_Last_Year,ObjectId
09-May-11,41.83,30406,51.84844144,42.83132119,16.25,13290,39.65152012,39.46653937,20.05,20118,63.32987062,64.11999874,11.8,81179,49.47073342,57.5739663,7.96,138.518,14.98065205,0,31.2,453.7,47.51282857,77.07613363,1.46,3.328,2.591900312,0.002834891,8.2,50.276,37.45288219,39.99016672,20.35,83.033,34.24846253,40.70070078,4.6,172.8,13.28617561,37.4442565,10.06,50.1,29.82142857,20.29761905,21.92,245838,51.19619816,68.35593559,30.65,74600,57.38020152,83.7243289,465431,51.81698045,65.71634375,,,,,,,,5505
11-Jul-11,47.94,43900,74.85846804,71.00129596,19.86,22147,66.07691619,57.15905361,23.58,28144,88.59508295,79.43778135,14.97,123812,75.45141534,85.0287943,13.42,652.755,70.59512505,72.80191554,32.24,517.6,54.20462876,40.53827626,4.24,46.607,36.2982866,47.98676012,8.85,61.344,45.69793948,39.86352598,24,144.584,59.63628564,54.08900236,5.88,305.1,23.45840381,50.73812087,12.18,86.7,51.60714286,44.16666667,25.06,367910,76.61790799,86.88097162,37.96,108960,83.80893777,100.161526,694873,77.36102808,86.05577024,,,,,,,,5506
09-Dec-10,51.61,53622,91.43646409,95.04638156,19.45,20987,62.61598592,91.18357848,24.63,30800,96.95596059,93.32325999,17,154076,93.89439044,95.3855998,0,0,0,95.25202077,34.95,714,74.77222746,74.51041994,0,0.00364,0.002834891,96.18380062,9.46,73.453,54.71848508,78.48224795,24.35,151.74,62.58790726,77.31837999,8.6,704.5,54.1673074,100,9.7,45.3,26.96428571,78.63095238,26.17,418130,87.07631178,99.05016369,40.48,121920,93.77740174,99.70771479,799535,89.01317159,97.71837888,,,,,,,,5507
17-Oct-10,50.79,51333,87.53325148,99.94884387,18.97,19686,58.7343736,100.1044246,25.15,32172,101.2749079,99.58132653,17.7,164909,100.4960541,96.5087297,12.1,483.494,52.28963301,98.98252953,31.4,465.9,48.79044926,76.89810451,2.94,17.435,13.57866044,101.5303738,7.34,38.006,28.31240036,93.93167359,24.73,159.879,65.94498501,92.04225323,8.8,743.8,57.1889897,100,10.53,57,33.92857143,108.3333333,26.82,449271,93.56148009,102.0223329,42.21,131130,100.8614722,100.5307284,848501,94.46461394,100.5058889,,,,,,,,5508
08-May-11,41.9,30545,52.08546484,42.67955801,16.3,13394,39.96181042,39.28155861,19.72,19473,61.29946171,63.98778607,11.8,81179,49.47073342,57.25463908,7.59,121.313,13.11993996,5.567752416,31.06,445.6,46.66457221,74.77222746,1.38,2.974,2.316199377,0.002834891,8.02,47.212,35.17036905,40.2434482,20.37,83.311,34.36312865,41.28186832,4.65,177.3,13.63216977,37.32892511,10,49.2,29.28571429,21.60714286,21.9,245167,51.05646122,68.35593559,30.55,74180,57.05714945,83.7243289,463938,51.65076301,65.6365193,,,,,,,,5509
10-Jul-11,47.95,43924,74.89939295,70.47268263,19.85,22118,65.99039293,57.08148104,23.59,28169,88.67378097,79.29297699,14.95,123525,75.27651665,84.75456291,13.46,658.663,71.23407228,72.49228353,32.3,521.4,54.60257619,41.39700492,4.24,46.607,36.2982866,47.03582555,8.86,61.514,45.82458022,39.4828588,23.99,144.384,59.55379203,53.78336351,5.82,298.4,22.94325696,49.93848993,12.1,85.1,50.6547619,43.80952381,25.06,367910,76.61790799,86.39387073,37.97,109010,83.84739635,100.161526,694656,77.33686921,85.70273908,,,,,,,,5510
08-Dec-10,51.63,53678,91.53195553,95.3413819,19.48,21069,62.86063789,91.80117552,24.75,31112,97.93811188,93.32325999,17.1,155604,94.82555837,95.3855998,0,0,0,95.5911776,35.09,725.3,75.95559744,74.34286313,0,0.00364,0.002834891,96.56931464,9.48,73.869,55.02838243,79.01339412,24.45,153.846,63.45656505,79.21367084,8.6,704.5,54.1673074,100,9.78,46.3,27.55952381,80.47619048,26.19,419069,87.27186019,99.47166526,40.54,122240,94.02353665,99.70771479,802772,89.37355061,97.98601903,,,,,,,,5511
16-Oct-10,50.77,51279,87.44117045,99.94884387,18.78,19185,57.23960975,100.1044246,25.08,31983,100.6799509,101.1899141,17.7,164909,100.4960541,96.69642585,12.3,507.747,54.91258276,96.94769674,31.06,445.6,46.66457221,76.46874018,2.93,17.3,13.47352025,100.3971963,7.33,37.872,28.21257766,93.25749788,24.72,159.658,65.85382956,91.07749038,8.8,743.8,57.1889897,100,10.55,57.3,34.10714286,108.3333333,26.82,449271,93.56148009,102.1293743,42.21,131130,100.8614722,100.5307284,847757,94.38178355,100.6542933,,,,,,,,5512
07-May-11,41.92,30585,52.15367301,42.64886433,16.36,13518,40.33177194,38.26416445,19.76,19549,61.53870369,65.37601914,11.8,81179,49.47073342,57.17541668,7.49,116.84,12.63618725,4.931725222,31.11,448.5,46.96826893,71.2954236,0,0.00364,0.002834891,0.002834891,8.06,47.893,35.67767696,37.96019011,20.34,82.894,34.19112946,41.99378823,4.7,181.8,13.97816392,37.32892511,9.82,46.8,27.85714286,22.73809524,21.9,245167,51.05646122,68.61125226,30.55,74180,57.05714945,83.7243289,464178,51.67748249,65.76766742,,,,,,,,5513
09-Jul-11,47.97,43973,74.98294796,70.47268263,19.85,22118,65.99039293,57.62747263,23.59,28169,88.67378097,79.95404036,14.92,123094,75.01386392,84.66315244,13.51,666.003,72.02788959,72.49228353,32.35,524.6,54.93768981,42.53848571,4.24,46.607,36.2982866,47.03582555,8.89,62.025,46.2052474,39.73614029,23.97,143.984,59.38880479,53.78336351,5.78,293.9,22.5972628,49.13885899,12.08,84.7,50.41666667,44.46428571,25.06,367910,76.61790799,86.39387073,37.97,109010,83.84739635,100.161526,694274,77.2943407,85.72979256,,,,,,,,5514
