,,,Fm (Frontier Markets) (Close),Fm (Frontier Markets) (Annualised Volatility Close),Fm (Frontier Markets) (Volume),Em/Reits (Close),Em/Reits (Annualised Volatility Close),Em/Reits (Volume),Bric Growth (Close),Bric Growth (Annualised Volatility Close),Bric Growth (Volume),Bric Value (Close),Bric Value (Annualised Volatility Close),Bric Value (Volume),Em Equal Weighted (Close),Em Equal Weighted (Annualised Volatility Close),Em Equal Weighted (Volume),Em (Emerging Markets) Growth (Close),Em (Emerging Markets) Growth (Annualised Volatility Close),Em (Emerging Markets) Growth (Volume),Em (Emerging Markets) Value (Close),Em (Emerging Markets) Value (Annualised Volatility Close),Em (Emerging Markets) Value (Volume),Ftse/Jse Shareholder Weighted All Share Net (Close),Ftse/Jse Shareholder Weighted All Share Net (Annualised Volatility Close),Ftse/Jse Shareholder Weighted All Share Net (Volume),Ftse/Jse Shareholder Weighted All Share Net (TRI),South Africa (Close),South Africa (Annualised Volatility Close),South Africa (Volume),Sa Volatility Index (Close),Sa Volatility Index (Annualised Volatility Close),Sa Volatility Index (Volume),Sa Volatility Index (TRI),Ftse/Jse Growth (Close),Ftse/Jse Growth (Annualised Volatility Close),Ftse/Jse Growth (Volume),Ftse/Jse Growth (TRI),Ftse/Jse Value (Close),Ftse/Jse Value (Annualised Volatility Close),Ftse/Jse Value (Volume),Ftse/Jse Value (TRI),Ftse/Jse All Share (Close),Ftse/Jse All Share (Annualised Volatility Close),Ftse/Jse All Share (Volume),Ftse/Jse All Share (TRI),Em (Emerging Markets) (Close),Em (Emerging Markets) (Annualised Volatility Close),Em (Emerging Markets) (Volume),Bric (Close),Bric (Annualised Volatility Close),Bric (Volume),Acwi (Close),Acwi (Annualised Volatility Close),Acwi (Volume)
18,,42754,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11639.64,16.5672,215618100,18333.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,604.08,15.1179,138279517,881.05,368.25,20.6661,137305766,628.36,52900.77,16.4746,205975599,7300.93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19,,42753,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11658.85,16.668,276397809,18363.35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,603.55,15.2048,152527056,880.28,369.71,20.7027,155785445,630.85,52933.28,16.5468,238763751,7305.42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20,,42752,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11617.61,16.6704,324938204,18297.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,601.64,15.2024,173046909,877.49,369.71,20.7115,222845496,630.79,52817.73,16.5474,303637120,7289.22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21,,42751,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11699.09,16.6524,234731157,18426.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,605.27,15.1888,150889406,882.79,372.44,20.694,145628767,635.45,53158.54,16.533,219759427,7336.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22,,42750,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
23,,42749,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24,,42748,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11626.33,16.8876,219658883,18311.47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,601,15.3428,136319987,876.56,370.07,20.8101,127411065,631.4,52794.81,16.6686,205433184,7286.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
25,,42747,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11541.84,16.8756,251649290,18178.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,596.67,15.3302,173650403,870.24,368.08,20.8142,129695019,628.01,52444.36,16.6565,240330514,7237.69,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26,,42746,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11595.74,16.882,267959111,18263.28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,597.48,15.34,188110481,871.42,366.83,20.8309,145129430,625.87,52437.91,16.657,260381738,7236.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27,,42745,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11473.26,16.8545,189184347,18060.97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,587.57,15.2545,126244463,856.63,364.64,20.8321,105167326,621.67,51740.17,16.6106,179374668,7136.92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
